,A,,B,,C,,D
351.9925711,150.0026659,351.9925711,166.5828514,351.9925711,404.58099,351.9925711,418.0903156
352.3601117,148.3359389,352.3601117,173.7384748,352.3601117,412.67481,352.3601117,423.0917087
352.72762,140.218303,352.72762,167.0518488,352.72762,409.5569,352.72762,411.1741578
353.095096,132.109882,353.095096,163.237508,353.095096,402.89832,353.095096,409.9859986
353.4625397,126.8623555,353.4625397,167.5286815,353.4625397,414.07564,353.4625397,414.028077
353.8299509,127.333697,353.8299509,160.8456442,353.8299509,405.97155,353.8299509,410.2048716
354.1973299,131.1571668,354.1973299,174.9214531,354.1973299,410.98889,354.1973299,415.9357038
354.5646764,135.2120511,354.5646764,175.6370868,354.5646764,406.94664,354.5646764,423.0711261
354.9319905,130.6811231,354.9319905,181.5977886,354.9319905,410.51622,354.9319905,423.0731837
355.2992722,131.3969791,355.2992722,177.5455814,355.2992722,411.23073,355.2992722,421.6473608
355.6665214,120.1798123,355.6665214,169.1921346,355.6665214,403.59811,355.6665214,411.3989774
356.0337382,104.432297,356.0337382,164.1798333,356.0337382,392.88132,356.0337382,400.9206028
356.4009226,96.07320918,356.4009226,149.859831,356.4009226,380.00009,356.4009226,388.9910377
356.7680744,101.5605169,356.7680744,149.3840974,356.7680744,377.86203,356.7680744,398.9829468
357.1351937,104.901331,357.1351937,159.3993322,357.1351937,380.7211,357.1351937,402.5551223
357.5022805,106.5657781,357.5022805,154.6235365,357.5022805,370.94992,357.5022805,383.2714065
357.8693347,101.557997,357.8693347,147.9498881,357.8693347,371.90597,357.8693347,385.8924344
358.2363564,104.4203729,358.2363564,140.5585573,358.2363564,372.85749,358.2363564,385.8924344
358.6033455,106.0937376,358.6033455,138.8942817,358.6033455,375.7248,358.6033455,381.1483325
358.970302,108.4792966,358.970302,131.2638645,358.970302,372.63322,358.970302,384.9550798
359.3372259,114.6819282,359.3372259,123.3952381,359.3372259,372.16106,359.3372259,393.0457912
359.7041172,123.7520833,359.7041172,131.9881038,359.7041172,378.12936,359.7041172,405.911149
360.0709758,123.0356504,360.0709758,127.6943347,360.0709758,374.7961,360.0709758,411.1401634
360.4378017,125.9004775,360.4378017,128.4126783,360.4378017,378.61068,360.4378017,414.7163336
360.804595,128.5303544,360.804595,138.197415,360.804595,381.72184,360.804595,415.6877707
361.1713556,125.4272045,361.1713556,133.1864642,361.1713556,381.4765,361.1713556,409.2585557
361.5380834,121.6088345,361.5380834,131.5147203,361.5380834,376.7121,361.5380834,413.5323153
361.9047785,122.5689818,361.9047785,148.4535551,361.9047785,382.44019,361.9047785,413.5524295
362.2714409,115.8874314,362.2714409,143.2040442,362.2714409,378.62544,362.2714409,410.2138511
362.6380705,122.3286329,362.6380705,148.6898061,362.6380705,383.14828,362.6380705,412.8329282
363.0046673,128.5297164,363.0046673,152.0277891,363.0046673,391.23536,363.0046673,416.6370058
363.3712313,109.4336699,363.3712313,149.1478873,363.3712313,381.43563,363.3712313,403.0317357
363.7377625,102.9902175,363.7377625,146.0439463,363.7377625,385.94376,363.7377625,406.8248797
364.1042608,106.8045622,364.1042608,153.908709,364.1042608,390.45523,364.1042608,404.6767837
364.4707263,119.2212715,364.4707263,164.4178344,364.4707263,409.05337,364.4707263,411.3839733
364.8371589,123.0420615,364.8371589,163.9471038,364.8371589,413.58692,364.8371589,412.3502613
365.2035587,126.14211,365.2035587,162.0389478,365.2035587,406.21235,365.2035587,419.0069603
365.5699255,129.7216017,365.5699255,162.0413544,365.5699255,406.93178,365.5699255,424.9580557
365.9362594,129.0028889,365.9362594,148.685017,365.9362594,405.4949,365.9362594,422.3320426
366.3025603,129.2401054,366.3025603,153.4523955,366.3025603,400.49639,366.3025603,431.8391168
366.6688283,128.283571,366.6688283,143.9116066,366.6688283,399.77508,366.6688283,430.6419049
367.0350634,124.4709921,367.0350634,154.8841558,367.0350634,408.58568,367.0350634,427.0867514
367.4012654,136.8876417,367.4012654,168.0154968,367.4012654,420.75903,367.4012654,434.0285627
367.7674344,145.9612758,367.7674344,171.3661784,367.7674344,420.55193,367.7674344,430.9687068
368.1335704,146.9145423,368.1335704,162.7812276,368.1335704,417.2201,368.1335704,429.7775389
368.4996733,136.4099533,368.4996733,162.5306798,368.4996733,410.05453,368.4996733,432.1241269
368.8657432,126.141797,368.8657432,153.9319358,368.8657432,393.60544,368.8657432,425.4264036
369.23178,127.5785328,369.23178,165.3837351,369.23178,404.08854,369.23178,423.3048141
369.5977837,126.1474328,369.5977837,171.5825139,369.5977837,405.27777,369.5977837,423.0670114
369.9637543,120.8977839,369.9637543,174.4403349,369.9637543,404.79519,369.9637543,420.2061826
370.3296918,121.1336041,370.3296918,164.6619444,370.3296918,406.689,370.3296918,416.6299149
370.6955961,110.3976292,370.6955961,162.7517899,370.6955961,401.68755,370.6955961,412.3422402
371.0614672,99.65316175,371.0614672,139.8480824,371.0614672,386.66671,371.0614672,397.7976908
371.4273052,99.17532644,371.4273052,135.5548988,371.4273052,387.6153,371.4273052,397.319136
371.79311,99.16794531,371.79311,136.7370303,371.79311,385.4465,371.79311,383.0205188
372.1588815,97.02115542,372.1588815,138.8829426,372.1588815,384.2573,372.1588815,388.7286271
372.5246198,108.7113527,372.5246198,139.3632519,372.5246198,385.21803,372.5246198,385.6461476
372.8903249,111.1047077,372.8903249,146.2885264,372.8903249,404.5111,372.8903249,399.4692716
373.2559966,115.3917451,373.2559966,136.743119,373.2559966,408.05649,373.2559966,402.3016676
373.6216351,125.6507595,373.6216351,128.8781712,373.6216351,418.29437,373.6216351,408.0218058
373.9872403,138.2915725,373.9872403,129.8339951,373.9872403,430.90213,373.9872403,429.4280556
374.3528122,151.418089,374.3528122,144.6301946,374.3528122,453.04692,374.3528122,450.3844311
374.7183508,159.2958327,374.7183508,166.3374191,374.7183508,473.27852,374.7183508,477.9845749
375.0838559,167.8866713,375.0838559,181.6031801,375.0838559,500.15515,375.0838559,513.4141525
375.4493278,167.1680767,375.4493278,181.8379735,375.4493278,525.09331,375.4493278,538.5863659
375.8147662,170.5067946,375.8147662,171.3491964,375.8147662,558.58781,375.8147662,579.6750001
376.1801712,177.4237056,376.1801712,177.3124505,376.1801712,610.12107,376.1801712,624.0779286
376.5455428,179.100056,376.5455428,183.5184811,376.5455428,654.05323,376.5455428,676.3082674
376.9108809,185.2879639,376.9108809,194.9498667,376.9108809,697.90353,376.9108809,717.0653785
377.2761856,195.3139468,377.2761856,208.3124178,377.2761856,754.3894,377.2761856,779.9415225
377.6414568,195.7911783,377.6414568,230.7146146,377.6414568,815.53542,377.6414568,846.7574471
378.0066945,195.0770205,378.0066945,251.6830097,378.0066945,882.3312,378.0066945,914.4805661
378.3718987,192.4396109,378.3718987,256.189256,378.3718987,935.52217,378.3718987,971.9114611
378.7370694,204.1142237,378.7370694,261.9003201,378.7370694,1014.74651,378.7370694,1049.690081
379.1022065,216.038558,379.1022065,277.1542329,379.1022065,1090.90145,379.1022065,1115.663458
379.4673101,226.2825985,379.4673101,291.677524,379.4673101,1161.99283,379.4673101,1194.529445
379.8323801,236.7770015,379.8323801,312.4060325,379.8323801,1233.81019,379.8323801,1274.112581
380.1974165,237.0088409,380.1974165,323.1105976,380.1974165,1282.1483,380.1974165,1325.733578
380.5624192,236.7489971,380.5624192,320.9390077,380.5624192,1334.39208,380.5624192,1366.876251
380.9273884,257.2488216,380.9273884,324.764232,380.9273884,1381.36642,380.9273884,1424.20497
381.2923239,255.3375261,381.2923239,319.5201583,381.2923239,1410.55805,381.2923239,1455.975493
381.6572257,262.2490206,381.6572257,309.7642666,381.6572257,1427.06939,381.6572257,1471.067854
