,A,,B,,C,,D
385.3043885,276.2738273,385.3043885,935.13989,385.3043885,288.4833814,385.3043885,941.387338
385.6689189,265.5476435,385.6689189,935.58679,385.6689189,286.8079098,385.6689189,949.4060006
386.0334154,272.4549532,386.0334154,932.74701,386.0334154,285.6172017,386.0334154,958.3969946
386.397878,256.4782832,386.397878,934.10545,386.397878,269.6417694,386.397878,955.0218592
386.7623067,255.2904299,386.7623067,939.79555,386.7623067,263.928878,386.7623067,964.2596948
387.1267014,245.7376706,387.1267014,922.19727,387.1267014,242.4662961,387.1267014,960.6210287
387.4910623,245.0176388,387.4910623,908.21529,387.4910623,252.2268796,387.4910623,971.7181804
387.8553891,241.9108904,387.8553891,906.75906,387.8553891,250.0727761,387.8553891,973.3351652
388.219682,238.8213221,388.219682,922.16697,388.219682,257.9399175,388.219682,973.5990019
388.5839409,235.0115972,388.5839409,931.40187,388.5839409,264.1339691,388.5839409,974.0788789
388.9481658,246.2286076,388.9481658,944.49246,388.9481658,270.3489577,388.9481658,982.4372608
389.3123566,249.5506839,389.3123566,929.77609,389.3123566,263.666725,389.3123566,978.3682274
389.6765134,258.1437451,389.6765134,942.38069,389.6765134,279.1658709,389.6765134,978.1981052
390.0406362,247.422722,390.0406362,950.89177,390.0406362,276.0679589,390.0406362,971.8046298
390.4047248,259.3404344,390.4047248,955.88703,390.4047248,279.8864757,390.4047248,973.0147174
390.7687794,250.277574,390.7687794,947.56606,390.7687794,273.6824329,390.7687794,959.4899422
391.1327998,256.0075553,391.1327998,949.26901,391.1327998,289.413916,391.1327998,967.3441343
391.4967861,258.4041862,391.4967861,964.6993,391.4967861,291.8115938,391.4967861,958.8791868
391.8607383,261.0398979,391.8607383,962.38766,391.8607383,292.7813735,391.8607383,967.9239864
392.2246563,259.6118559,392.2246563,960.49935,392.2246563,290.6395021,392.2246563,974.0796957
392.5885401,255.7926498,392.5885401,936.80966,392.5885401,288.2494883,392.5885401,976.417943
392.9523897,248.1508025,392.9523897,917.57432,392.9523897,278.4644405,392.9523897,969.4891124
393.3162051,247.1948486,393.3162051,924.19026,393.3162051,281.3187848,393.3162051,954.8099104
393.6799863,249.8097661,393.6799863,916.12407,393.6799863,269.4049276,393.6799863,952.6604238
394.0437332,248.8360949,394.0437332,908.2409,394.0437332,264.619366,394.0437332,934.3665477
